epoch,lr,train_total,train_event,train_time,train_pause,train_traj,train_event_acc,train_pause_acc,train_time_mae_s,train_traj_err_m,train_final_err_m,val_total,val_event,val_time,val_pause,val_traj,val_event_acc,val_pause_acc,val_time_mae_s,val_traj_err_m,val_final_err_m
1,0.001,4.6399755146192465,1.8272196251413098,2.6412002252495808,0.3084208015190518,0.017345254386410765,0.297554347826087,0.9097826086956522,4.2653906449027685,5.768807510707689,8.74973781005196,4.146359157562256,1.7257321039835611,2.2801889260609944,0.2598565901319186,0.010509796937306722,0.32083333333333336,0.925,3.3742463906606037,4.517428970336914,6.485229523976644
2,0.001,4.5112984532895295,1.746902935401253,2.6053019326666127,0.2882177686561709,0.014984663669019937,0.3286231885785642,0.9119565217391304,4.115272191296453,5.410009268055791,8.142697603806205,4.006429004669189,1.60753120581309,2.265525046984355,0.2472056955099106,0.009769898854816954,0.38333333333333336,0.925,3.2376619736353556,4.210208241144816,6.26382687886556
3,0.001,4.424699018312537,1.668199280033941,2.5978502501612124,0.2868952985690988,0.015201849312238072,0.375090579882912,0.9127717391304347,4.119842199657274,5.336755437436311,8.199835433130678,3.9395222504933676,1.5312282959620158,2.2703083753585815,0.2565762042999268,0.009697571024298668,0.43125,0.925,3.3318812688191732,4.085019890467326,6.011830870310465
4,0.001,4.3160617144211475,1.5919170203416244,2.5679178331209265,0.2849878886471624,0.013732880181835397,0.41856884075247724,0.9115036233611729,4.114999156412871,5.052920022218124,7.868786374382351,3.837488063176473,1.4886488596598306,2.216809137662252,0.24584101835886638,0.009109565491477649,0.41041666666666665,0.925,3.083933146794637,3.850699853897095,5.942235326766967
5,0.001,4.242714786529541,1.5488226714341538,2.5427751354549244,0.27500009413646614,0.013616934875228807,0.42336956521739133,0.9127717391304347,4.052036765347356,4.938811152914296,7.72808696290721,3.759648243586222,1.423514477411906,2.2006351153055825,0.2524157588680585,0.009290740111221869,0.49166666666666664,0.925,3.102055319150289,4.01558502515157,5.947868871688843
6,0.001,4.189120215954988,1.5118874249250993,2.528946382066478,0.27004851190292317,0.013262177325542206,0.44981884075247724,0.9133152173913044,3.961258180245109,4.912238454818725,7.719070687501326,3.7284870624542235,1.3722317059834799,2.219931968053182,0.2545811876654625,0.009032810774321358,0.49166666666666664,0.925,3.0765741507212323,3.8690042813618977,5.85761710802714
7,0.001,4.175903867638629,1.491719949763754,2.536747902372609,0.26815495688630187,0.01335855133264609,0.452445652173913,0.9125,3.9524646054143493,4.904862557286801,7.746545231860617,3.7865471045176187,1.3919237693150839,2.257333501180013,0.2567544768253962,0.008912566180030505,0.47708333333333336,0.925,3.356601270039876,3.826872968673706,5.8335272947947185
8,0.001,4.107599689649499,1.44239167648813,2.5234979411830074,0.25699270772545235,0.013213712072161876,0.465670289941456,0.9146739130434782,3.9797052953554237,4.867835963290671,7.613412512903628,3.7140764395395913,1.3552254120508829,2.221707487106323,0.25575139770905175,0.009267830351988474,0.4791666666666667,0.925,3.1861921389897665,3.797833967208862,5.741162045796712
9,0.001,4.10952088729195,1.4526988133140233,2.5137016752491825,0.2607077089664729,0.012766562883220816,0.4644927537959555,0.9115036233611729,3.9300324367440265,4.792126662834831,7.554986214637756,3.6972111066182456,1.3739286661148071,2.1911747455596924,0.2458311513066292,0.009192097838968039,0.49583333333333335,0.9208333333333333,3.166380508740743,3.855994987487793,5.787436501185099
10,0.001,4.092681233779244,1.4401283823925517,2.510443921711134,0.2577609436019607,0.013228467179705267,0.46702898559362993,0.9116847826086957,3.983128279188405,4.808250101752903,7.652396865513014,3.654885482788086,1.3400131344795227,2.1834065516789756,0.24541351248820623,0.00875903006332616,0.49375,0.9229166666666667,3.100084392229716,3.76320333480835,5.750488249460856
11,0.001,4.082862375093543,1.4205588755400285,2.5229834214500757,0.2508749413749446,0.013882594865382366,0.4638586956521739,0.912590579882912,4.062000763934591,4.942798552305802,7.7807470674100125,3.698887888590495,1.3612414042154948,2.20552343527476,0.2467848092317581,0.008730624197050929,0.5125,0.925,3.2339333295822144,3.7460371971130373,5.6878940264383955
